date,pce,gdp,unrate
1960-01-01,0.41456,816.5419999999999,5.4
1960-04-01,2.04062,816.002,5.4
1960-07-01,1.6199,816.4899999999999,5.5
1960-10-01,1.8944,815.199,6.6
1961-01-01,0.20426,815.8720000000001,6.9
1961-04-01,0.17865,817.555,6.9
1961-07-01,1.65505,819.458,6.7
1961-10-01,0.10163,821.4000000000001,6.0
1962-01-01,2.35556,823.1680000000001,5.6
1962-04-01,0.95851,824.0690000000001,5.5
1962-07-01,2.31113,825.2909999999999,5.6
1962-10-01,-0.27563,825.62,5.5
1963-01-01,1.07638,826.7060000000001,5.7
1963-04-01,1.4971,827.8219999999999,5.6
1963-07-01,1.26815,829.997,5.5
1963-10-01,1.93177,830.651,5.5
1964-01-01,1.65193,832.7379999999999,5.4
1964-04-01,0.90934,833.821,5.2
1964-07-01,1.42131,835.371,5.1
1964-10-01,1.3919,835.68,5.0
1965-01-01,1.11977,838.071,4.7
1965-04-01,2.68921,839.3269999999999,4.6
1965-07-01,0.57908,841.526,4.3
1965-10-01,2.23605,843.803,4.0
1966-01-01,3.10486,846.2080000000001,3.8
1966-04-01,2.86842,846.5490000000001,3.8
1966-07-01,3.57439,847.3919999999999,3.7
1966-10-01,2.4739,848.209,3.8
1967-01-01,0.69739,849.0909999999999,3.8
1967-04-01,2.70827,849.1519999999999,3.9
1967-07-01,3.8113,850.094,3.8
1967-10-01,3.073,850.845,3.8
1968-01-01,4.7786,852.8639999999999,3.7
1968-04-01,4.01296,854.52,3.7
1968-07-01,4.23658,855.292,3.4
1968-10-01,3.93145,855.684,3.4
1969-01-01,4.45242,857.236,3.4
1969-04-01,5.29526,857.5390000000001,3.5
1969-07-01,4.51363,858.197,3.7
1969-10-01,4.91929,857.7080000000001,3.5
1970-01-01,3.999,857.559,4.4
1970-04-01,4.32481,857.7,4.9
1970-07-01,4.29862,858.617,5.4
1970-10-01,5.32397,857.54,6.1
1971-01-01,3.3336,860.22,6.0
1971-04-01,4.99738,860.759,5.9
1971-07-01,2.95718,861.5780000000001,6.0
1971-10-01,3.01193,861.8130000000001,6.0
1972-01-01,3.78537,863.634,5.8
1972-04-01,2.09598,865.8770000000001,5.7
1972-07-01,4.38289,866.817,5.5
1972-10-01,2.91396,868.478,5.2
1973-01-01,6.1294,870.922,4.9
1973-04-01,7.20122,872.0050000000001,4.9
1973-07-01,7.61827,871.478,4.8
1973-10-01,8.79996,872.423,4.9
1974-01-01,13.05501,871.5590000000001,5.1
1974-04-01,10.12297,871.7969999999999,5.4
1974-07-01,11.2301,870.847,5.9
1974-10-01,9.00279,870.458,7.2
1975-01-01,5.99239,869.2330000000001,8.6
1975-04-01,5.44021,869.945,8.8
1975-07-01,7.12079,871.643,8.4
1975-10-01,7.08293,872.981,8.2
1976-01-01,2.63486,875.205,7.6
1976-04-01,4.55191,875.9359999999999,7.6
1976-07-01,6.46004,876.482,7.6
1976-10-01,6.13745,877.202,7.8
1977-01-01,7.43713,878.3810000000001,7.4
1977-04-01,6.5719,880.304,7.2
1977-07-01,5.43239,882.091,6.8
1977-10-01,6.08258,882.0930000000001,6.4
1978-01-01,6.7912,882.413,6.3
1978-04-01,8.46971,886.205,5.9
1978-07-01,6.46576,887.2049999999999,6.0
1978-10-01,7.29967,888.541,6.0
1979-01-01,8.25139,888.72,5.8
1979-04-01,11.55875,888.827,5.7
1979-07-01,9.59906,889.5670000000001,5.9
1979-10-01,9.36321,889.817,6.0
1980-01-01,13.36205,890.1310000000001,6.3
1980-04-01,7.69656,888.049,7.6
1980-07-01,10.09743,887.9300000000001,7.5
1980-10-01,9.02249,889.7769999999999,7.2
1981-01-01,10.63024,891.718,7.4
1981-04-01,5.12583,890.9739999999999,7.5
1981-07-01,7.31676,892.165,7.6
1981-10-01,5.18091,891.0690000000001,8.5
1982-01-01,4.59796,889.503,9.0
1982-04-01,5.45942,889.9580000000001,9.6
1982-07-01,4.70557,889.5749999999999,10.1
1982-10-01,4.04728,889.615,10.8
1983-01-01,3.05225,890.9240000000001,10.3
1983-04-01,4.44065,893.174,10.1
1983-07-01,5.35947,895.154,9.2
1983-10-01,1.46389,897.218,8.3
1984-01-01,5.72762,899.154,7.8
1984-04-01,2.73826,900.8670000000001,7.2
1984-07-01,3.19573,901.8269999999999,7.3
1984-10-01,2.63288,902.6439999999999,7.3
1985-01-01,5.40735,903.6080000000001,7.2
1985-04-01,2.61261,904.485,7.4
1985-07-01,2.97642,906.001,7.1
1985-10-01,3.16688,906.7420000000001,7.0
1986-01-01,0.95854,907.671,7.2
1986-04-01,1.40223,908.1200000000001,7.2
1986-07-01,1.91132,909.0719999999999,7.0
1986-10-01,1.97968,909.607,6.6
1987-01-01,4.33644,910.346,6.6
1987-04-01,4.01699,911.4190000000001,6.2
1987-07-01,3.84938,912.282,5.9
1987-10-01,2.76222,913.9849999999999,5.7
1988-01-01,3.51306,914.5,5.7
1988-04-01,4.79981,915.806,5.4
1988-07-01,5.06768,916.39,5.4
1988-10-01,3.47666,917.7139999999999,5.3
1989-01-01,4.86233,918.725,5.0
1989-04-01,4.98541,919.485,5.3
1989-07-01,1.89356,920.223,5.3
1989-10-01,3.5884,920.4200000000001,5.4
1990-01-01,6.28289,921.5070000000001,5.2
1990-04-01,3.50131,921.869,5.2
1990-07-01,6.08592,921.936,5.9
1990-10-01,3.16285,921.021,6.3
1991-01-01,1.80738,920.552,6.8
1991-04-01,3.05263,921.3290000000001,6.9
1991-07-01,2.93297,921.833,6.9
1991-10-01,2.62397,922.1809999999999,7.3
1992-01-01,2.52427,923.371,7.4
1992-04-01,2.31896,924.4490000000001,7.8
1992-07-01,2.50654,925.433,7.6
1992-10-01,2.89627,926.4699999999999,7.4
1993-01-01,2.39248,926.6370000000001,7.0
1993-04-01,2.43368,927.2169999999999,7.0
1993-07-01,1.73896,927.693,6.7
1993-10-01,2.10366,929.044,6.5
1994-01-01,2.15939,930.01,6.5
1994-04-01,2.0271,931.3560000000001,6.1
1994-07-01,2.62296,931.9390000000001,5.9
1994-10-01,1.69336,933.0780000000001,5.5
1995-01-01,2.25661,933.432,5.4
1995-04-01,2.05498,933.7300000000001,5.6
1995-07-01,1.63877,934.577,5.6
1995-10-01,1.79024,935.2539999999999,5.6
1996-01-01,2.72568,936.0,5.5
1996-04-01,1.8802,937.654,5.3
1996-07-01,2.35516,938.547,5.2
1996-10-01,2.38142,939.5799999999999,5.4
1997-01-01,1.77538,940.224,5.2
1997-04-01,0.72274,941.8749999999999,5.0
1997-07-01,1.52087,943.116,4.9
1997-10-01,0.45853,943.966,4.7
1998-01-01,0.05092,944.965,4.7
1998-04-01,0.70649,945.887,4.5
1998-07-01,1.30795,947.138,4.6
1998-10-01,1.29807,948.7339999999999,4.4
1999-01-01,0.63906,949.6689999999999,4.2
1999-04-01,2.31224,950.5000000000001,4.3
1999-07-01,3.22258,951.8179999999999,4.2
1999-10-01,1.96184,953.4449999999999,4.0
2000-01-01,4.05834,953.8069999999999,4.0
2000-04-01,1.35272,955.612,4.0
2000-07-01,2.69179,955.714,3.9
2000-10-01,1.71479,956.3090000000001,3.9
2001-01-01,2.58779,955.9810000000001,4.3
2001-04-01,2.45994,956.603,4.5
2001-07-01,-1.54433,956.202,5.0
2001-10-01,0.72249,956.476,5.7
2002-01-01,2.11744,957.3090000000001,5.7
2002-04-01,2.43178,957.9200000000001,5.8
2002-07-01,2.38579,958.3259999999999,5.7
2002-10-01,1.50991,958.4490000000001,6.0
2003-01-01,3.89929,958.974,5.9
2003-04-01,-0.70567,959.8560000000001,6.3
2003-07-01,3.77141,961.506,6.1
2003-10-01,1.4376,962.66,5.7
2004-01-01,3.01134,963.2250000000001,5.8
2004-04-01,3.17929,963.997,5.6
2004-07-01,1.36556,964.9409999999999,5.4
2004-10-01,3.46542,965.9560000000001,5.4
2005-01-01,2.8315,967.0590000000001,5.2
2005-04-01,1.59436,967.5509999999999,5.0
2005-07-01,7.1427,968.331,5.0
2005-10-01,-0.19723,968.885,4.9
2006-01-01,2.94829,970.2220000000001,4.7
2006-04-01,3.91174,970.48,4.6
2006-07-01,1.57195,970.6300000000001,4.5
2006-10-01,0.612,971.486,4.4
2007-01-01,4.03453,971.786,4.4
2007-04-01,2.94626,972.396,4.6
2007-07-01,2.4196,972.9699999999999,4.7
2007-10-01,4.25055,973.597,5.0
2008-01-01,2.94873,973.1690000000001,5.1
2008-04-01,5.34351,973.7629999999999,5.6
2008-07-01,1.8659,973.236,6.1
2008-10-01,-9.64021,971.0229999999999,7.3
2009-01-01,0.32224,969.881,8.7
2009-04-01,3.35668,969.703,9.5
2009-07-01,1.84924,970.0530000000001,9.8
2009-10-01,2.74458,971.128,9.9
2010-01-01,1.42952,971.612,9.9
2010-04-01,0.17722,972.5749999999999,9.4
2010-07-01,1.28695,973.3430000000001,9.5
2010-10-01,2.97373,973.866,9.3
2011-01-01,3.91643,973.629,9.0
2011-04-01,2.82402,974.3029999999999,9.1
2011-07-01,2.18324,974.2810000000001,9.0
2011-10-01,1.05724,975.398,8.5
2012-01-01,3.02357,976.2330000000001,8.2
2012-04-01,-0.1273,976.6780000000001,8.2
2012-07-01,2.70267,976.8219999999999,7.8
2012-10-01,0.84637,976.938,7.9
2013-01-01,1.65388,977.919,7.5
2013-04-01,0.77422,978.187,7.5
2013-07-01,1.26481,979.0340000000001,7.2
2013-10-01,1.8213,979.902,6.7
2014-01-01,1.66021,979.557,6.7
2014-04-01,1.80556,980.84,6.1
2014-07-01,0.65754,982.048,5.9
2014-10-01,-1.20494,982.5530000000001,5.6
2015-01-01,-0.46155,983.4490000000001,5.4
2015-04-01,2.08921,984.0669999999999,5.3
2015-07-01,-0.16001,984.4659999999999,5.0
2015-10-01,-0.08618,984.6500000000001,5.0
2016-01-01,0.88967,985.2280000000001,5.0
2016-04-01,2.66126,985.549,4.9
2016-07-01,1.38484,986.256,5.0
2016-10-01,1.63854,986.8090000000001,4.7
2017-01-01,1.86903,987.294,4.4
2017-04-01,0.92724,987.853,4.3
2017-07-01,2.53391,988.638,4.3
2017-10-01,1.67378,989.7589999999999,4.1
2018-01-01,2.77942,990.569,4.0
2018-04-01,1.98475,991.0980000000001,4.0
2018-07-01,1.52216,991.7199999999999,3.7
2018-10-01,1.10375,991.8620000000001,3.9
2019-01-01,1.38027,992.403,3.8
2019-04-01,1.59981,993.23,3.6
2019-07-01,1.10026,994.355,3.5
2019-10-01,2.03042,994.9949999999999,3.6
2020-01-01,-0.16881,993.6220000000001,4.4
2020-04-01,-0.14969,985.403,11.0
2020-07-01,3.24594,992.8750000000001,7.9
2020-10-01,2.50149,993.905,6.7
2021-01-01,5.10974,995.1829999999999,6.1
2021-04-01,6.26087,996.691,5.9
2021-07-01,4.90203,997.5020000000001,4.8
2021-10-01,7.71469,999.185,3.9
2022-01-01,7.78546,998.686,3.6
2022-04-01,7.0981,998.5440000000001,3.6
2022-07-01,2.8023,999.201,3.5
2022-10-01,3.51013,999.8340000000001,3.5
2023-01-01,3.97518,1000.389,3.5
2023-04-01,2.30573,1000.8990000000001,3.6
2023-07-01,3.65647,1002.155,3.8
